0.1,1,0.5
0
0.1
0.2
0.3
0.4
0.5
0.6
0.7
0.8
0.9
1
1.1
1.2
1.3
1.4
1.5
1.6
1.7
1.8
1.9
2
2.1
2.2
2.3
2.4
2.5
2.6
2.7
2.8
2.9
3
3.1
3.2
3.3
3.4
3.5
3.6
3.7
3.8
3.9
4
4.1
4.2
4.3
4.4
4.5
4.6
16.3,-5.23199,1.42875,0.224513,-0.00453142,0.264941,0.429232,0.305828,-5.23199,1.42875,0.224513,-0.00453142
16.4,-5.22791,1.42504,0.224513,-0.00453142,0.264947,0.43009,0.304963,-5.22791,1.42504,0.224513,-0.00453142
16.5,-5.20556,1.42518,0.19217,-0.0081386,0.265788,0.428716,0.305496,-5.20556,1.42518,0.19217,-0.0081386
16.6,-5.18712,1.4286,0.19217,-0.0081386,0.266601,0.427436,0.305963,-5.18712,1.4286,0.19217,-0.0081386
16.7,-5.1615,1.42306,0.212788,-0.00114475,0.266807,0.427764,0.305428,-5.1615,1.42306,0.212788,-0.00114475
16.8,-5.14233,1.42393,0.212788,-0.00114475,0.267015,0.428085,0.3049,-5.14233,1.42393,0.212788,-0.00114475
16.9,-5.10297,1.42574,0.210181,0.00514763,0.267052,0.428649,0.304299,-5.10297,1.42574,0.210181,0.00514763
17,-5.08959,1.42852,0.210181,0.00514763,0.267115,0.429208,0.303677,-5.08959,1.42852,0.210181,0.00514763
17.1,-5.0527,1.42612,0.228553,0.000520896,0.266967,0.430419,0.302614,-5.0527,1.42612,0.228553,0.000520896
17.2,-5.05047,1.42039,0.228553,0.000520896,0.266853,0.431539,0.301609,-5.05047,1.42039,0.228553,0.000520896
17.3,-5.02302,1.41667,0.233245,-0.00791686,0.266869,0.432401,0.30073,-5.02302,1.41667,0.233245,-0.00791686
17.4,-5.00101,1.41839,0.233245,-0.00791686,0.266887,0.43324,0.299873,-5.00101,1.41839,0.233245,-0.00791686
17.5,-4.97693,1.41927,0.182277,-0.015334,0.268049,0.431239,0.300711,-4.97693,1.41927,0.182277,-0.015334
17.6,-4.95596,1.41576,0.182277,-0.015334,0.269192,0.429311,0.301497,-4.95596,1.41576,0.182277,-0.015334
17.7,-4.93655,1.42032,0.221742,-0.00565774,0.269378,0.429723,0.300899,-4.93655,1.42032,0.221742,-0.00565774
17.8,-4.90834,1.42384,0.221742,-0.00565774,0.269558,0.430141,0.300301,-4.90834,1.42384,0.221742,-0.00565774
17.9,-4.88606,1.4204,0.244312,-0.00899486,0.269401,0.431369,0.299231,-4.88606,1.4204,0.244312,-0.00899486
18,-4.8602,1.41763,0.244312,-0.00899486,0.269264,0.432535,0.298201,-4.8602,1.41763,0.244312,-0.00899486
18.1,-4.83381,1.41949,0.218093,-0.00606307,0.269555,0.432672,0.297773,-4.83381,1.41949,0.218093,-0.00606307
18.2,-4.81146,1.41978,0.218093,-0.00606307,0.26985,0.4328,0.297351,-4.81146,1.41978,0.218093,-0.00606307
18.3,-4.78863,1.42701,0.124062,0.00203179,0.270429,0.431666,0.297905,-4.78863,1.42701,0.124062,0.00203179
18.4,-4.76854,1.42668,0.124062,0.00203179,0.27102,0.430568,0.298413,-4.76854,1.42668,0.124062,0.00203179
18.5,-4.76416,1.42629,0.340513,-0.0104193,0.270611,0.43228,0.297109,-4.76416,1.42629,0.340513,-0.0104193
